section,id,Longtitude,Latitude,W,Werr,PercentPs,PercentPserr,P,Perr,B,Berr,S,Serr,Source,StratH
BBS,TTB132,121.3360776,23.09500041,772.954755,329.5052629,0.886904762,0.060629154,149,35.84689666,27,10.04987562,8,3.16227766,Chang_1969,4075.810185
BBS,TTB131,121.3371777,23.09434142,550.1044954,297.9398236,0.827272727,0.111175457,91,20.61552813,21,14,2,2,Chang_1969,4196.154251
SGS,TT76,121.352215,23.12300731,260.9815933,143.0877625,0.619047619,0.186750446,39,15,32,16.30950643,8,3.16227766,Chang_1969,4196.154251
SGS,TT75,121.3525655,23.1211572,508.8592957,286.7596661,0.810526316,0.124507344,77,18.62793601,33,13,15,5,Chang_1969,4252.130682
BBS,TTB130,121.3384427,23.09333637,501.7171932,140.1186347,0.807359307,0.061027086,373,88.16461875,104,27.20294102,15,6.08276253,Chang_1969,4309.501263
SGS,TT74,121.3552002,23.12077223,845.6296309,928.7354852,0.899328859,0.143641055,134,33.85262176,51,18.05547009,36,15.03329638,Chang_1969,4428.451178
BBS,TTB129,121.3393959,23.09197283,1317.991633,754.0208936,0.944444444,0.042622684,238,90.49861877,15,10,1,1,Chang_1969,4483.375421
BBS,TTB128,121.340073,23.09092648,823.7380203,412.3122843,0.895833333,0.066564213,172,48.29078587,28,12.72792206,8,3.16227766,Chang_1969,4539.457071
BBS,TTB127,121.3409104,23.09014382,320.6851857,126.6299213,0.686567164,0.122120081,46,16.97056275,22,9,1,1,Chang_1969,4622.553662
SGS,TT73,121.3587455,23.12067162,487.6904416,226.2965069,0.800884956,0.106127425,362,90.87904049,200,47.19110086,110,29.15475947,Chang_1969,4622.553662
SGS,TT72,121.3609054,23.12098845,1882.254528,13795.643,0.966101695,0.347965774,114,32.57299495,74,30.08321791,70,30,Chang_1969,4745.396675
BBS,TTB126,121.3434089,23.08823664,1416.182592,610.9379169,0.94966443,0.028731092,283,105.5225094,17,6.782329983,2,2,Chang_1969,4817.839857
SGS,TT71,121.3656143,23.11808368,949.0508836,667.2971662,0.91349481,0.079753215,264,59.38013136,61,19.46792233,36,15.03329638,Chang_1969,5097.695707
SGS,TT70,121.3656883,23.1164531,497.7336509,279.1898447,0.805555556,0.126419057,58,16.40121947,36,8.831760866,22,5.830951895,Chang_1969,5153.382786
SGS,TT69,121.3633689,23.11129139,800.4663771,344.6954264,0.891891892,0.058849035,198,62.04836823,26,12.40967365,2,2,Chang_1969,5204.282407
SGS,TT68,121.3635791,23.10921087,372.1518546,107.7410588,0.731034483,0.080920475,106,23.79075451,41,13.37908816,2,1.414213562,Chang_1969,5249.842172
BBS,TTB125,121.3482368,23.08260113,367.2936789,194.6161347,0.727272727,0.151490106,40,14.4222051,16,10.04987562,1,1,Chang_1969,5430.687079
BBS,TTB124,121.3505661,23.0788728,802.8548817,346.3883929,0.892307692,0.058763617,174,61.40032573,22,10.44030651,1,1,Chang_1969,5773.016625
SGS,TT67,121.369595,23.10683868,955.6525534,565.0783699,0.914285714,0.066228185,224,76.14459928,43,15.16575089,22,5.830951895,Chang_1969,5892.755682
BBS,TTB123,121.3531845,23.0771632,1395.609788,801.2046312,0.948640483,0.039678874,314,120.664825,19,12.04159458,2,2,Chang_1969,6043.402778
BBS,TTB122,121.3566267,23.07511163,508.7891623,170.1338082,0.810495627,0.072833318,278,91.6351461,66,22.13594362,1,1,Chang_1969,6369.02883
SGS,TT66,121.3743761,23.1075179,802.3243794,467.270823,0.892215569,0.080208824,149,46.3788745,33,13,15,5,Chang_1969,6369.02883
