section,id,Longtitude,Latitude,W,Werr,PercentPs,PercentPserr,P,Perr,B,Berr,S,Serr,Source,StratH
HKL,SK57,121.43532,23.50363915,166.8289142,98.27103994,,,,,,,,,Chang_Chen_1970,4707.728325
HKL,SK58,121.435972,23.50375848,156.6702558,469.547681,,,,,,,,,Chang_Chen_1970,4745.633418
HKL,SK59,121.4367966,23.50348298,69.13754407,13.82750881,,,,,,,,,Chang_Chen_1970,4810.606061
HKL,SK60,121.4357773,23.50859002,333.3583119,207.2979572,,,,,,,,,Chang_Chen_1970,4745.633418
HKL,SK61,121.4399116,23.5159048,152.9200717,310.724373,,,,,,,,,Chang_Chen_1970,4940.525042
HKL,SK62,121.4417066,23.51627003,335.8087841,195.1490481,,,,,,,,,Chang_Chen_1970,4996.185816
HKL,SK63,121.4426142,23.51694338,68.77019138,0.363488963,,,,,,,,,Chang_Chen_1970,5061.15846
HKL,SK64,121.4378176,23.50325812,1581.13883,316.227766,,,,,,,,,Chang_Chen_1970,4884.837963
HKL,SK65,121.439706,23.50174361,92.77384541,23.8847879,,,,,,,,,Chang_Chen_1970,5024.042508
HKL,SK66,121.440727,23.50151872,15.27213558,7.748959822,,,,,,,,,Chang_Chen_1970,5079.703283
HKL,SK67,121.4418108,23.50126122,526.2615358,364.1610644,,,,,,,,,Chang_Chen_1970,5133.70686
HKL,SK68,121.4427098,23.50056553,1581.13883,316.227766,,,,,,,,,Chang_Chen_1970,5200.363005
HKL,SK69,121.4431196,23.494325,1635.481831,68.7657498,,,,,,,,,Chang_Chen_1970,5200.363005
HKL,SK70,121.4410801,23.49057711,339.4008878,178.6044677,,,,,,,,,Chang_Chen_1970,4642.91351
HKL,SK71,121.4484834,23.4932184,447.1169993,294.3544536,,,,,,,,,Chang_Chen_1970,5024.042508
HKL,SK72,121.4487114,23.49386299,589.6930047,466.8406277,,,,,,,,,Chang_Chen_1970,5061.15846
HKL,SK73,121.4491834,23.49544917,636.1089442,541.5384389,,,,,,,,,Chang_Chen_1970,5229.692761
HKL,SK74,121.4553728,23.49650787,116.1895004,23.23790008,,,,,,,,,Chang_Chen_1970,5188.578493
HKL,TTA71,121.40278,23.46441642,1274.894837,768.4320071,0.941860465,0.046990839,81,19.23538406,6,4,1,1,Chang_1969,2701.415194
HKL,TTA72,121.4046047,23.46433412,588.0573686,228.259499,0.840659341,0.07392131,306,69.0869018,108,24.55605832,50,15.8113883,Chang_1969,2701.415194
HKL,TTA74,121.4139471,23.46402488,120.3683494,64.81186731,0.346153846,0.175842717,9,6,17,6.782329983,0,0,Chang_1969,3398.753157
HKL,TTA70,121.4072734,23.47844359,252.6105544,130.7179193,0.607843137,0.178101437,31,16.2788206,22,10.44030651,2,2,Chang_1969,3632.996633
WL,SK8,121.3990625,23.51864353,30.0203267,63.09380103,,,,,,,,,Chang_Chen_1970,1919.428662
WL,SK9,121.3995996,23.51909273,586.810781,390.4992691,,,,,,,,,Chang_Chen_1970,1939.604377
WL,SK10,121.3997163,23.52000268,46.3646834,176.4244268,,,,,,,,,Chang_Chen_1970,1987.058081
WL,SK11,121.3998995,23.52087808,36.68125048,68.49332508,,,,,,,,,Chang_Chen_1970,2022.648359
WL,SK12,121.4013153,23.52176109,81.13995065,213.4781187,,,,,,,,,Chang_Chen_1970,2135.54819
WL,SK14,121.4053591,23.52766979,41.9339792,154.9335928,,,,,,,,,Chang_Chen_1970,2497.448443
WL,SK15,121.4058507,23.53048796,8.94427191,1.788854382,,,,,,,,,Chang_Chen_1970,2666.824495
WL,SK16,121.406942,23.53299506,210.0577981,217.2763322,,,,,,,,,Chang_Chen_1970,2783.906776
WL,SK17,121.4088828,23.534738,30.54436283,89.96557699,,,,,,,,,Chang_Chen_1970,3001.210017
WL,SK18,121.4113067,23.53655382,622.2334013,459.4735789,,,,,,,,,Chang_Chen_1970,3217.80303
WL,SK19,121.4150098,23.54247771,39.48262117,68.96051699,,,,,,,,,Chang_Chen_1970,3483.375421
WL,SK20,121.4155443,23.54373607,136.8619284,222.2220444,,,,,,,,,Chang_Chen_1970,3525.77862
WL,SK21,121.4175585,23.5483143,305.1347932,208.117609,,,,,,,,,Chang_Chen_1970,3663.431187
